externalId,amount,currency,transactionDate,referenceId,merchantName
P-40,8962.47,INR,2026-08-18,PAY-1040,Acme Ltd
P-41,3598.90,INR,2026-08-18,PAY-1041,Acme Ltd
P-42,5068.37,INR,2026-08-18,PAY-1042,Acme Ltd
P-43,3007.95,INR,2026-08-18,PAY-1043,Acme Ltd
P-44,1861.26,INR,2026-08-18,PAY-1044,Acme Ltd
P-45,6718.42,INR,2026-08-18,PAY-1045,Acme Ltd
P-46,3620.82,INR,2026-08-18,PAY-1046,Acme Ltd
P-47,1684.13,INR,2026-08-18,PAY-1047,Acme Ltd
P-48,7637.45,INR,2026-08-18,PAY-1048,Acme Ltd
P-49,8301.19,INR,2026-08-18,PAY-1049,Acme Ltd
P-50,7854.88,INR,2026-08-18,PAY-1050,Acme Ltd
P-51,8975.38,INR,2026-08-18,PAY-1051,Acme Ltd
P-52,9732.95,INR,2026-08-18,PAY-1052,Acme Ltd
P-53,3714.00,INR,2026-08-18,PAY-1053,Acme Ltd
P-54,2642.01,INR,2026-08-18,PAY-1054,Acme Ltd
P-55,5538.52,INR,2026-08-18,PAY-1055,Acme Ltd
P-56,3494.96,INR,2026-08-18,PAY-1056,Acme Ltd
P-57,5799.33,INR,2026-08-18,PAY-1057,Acme Ltd
P-58,2371.21,INR,2026-08-18,PAY-1058,Acme Ltd
P-59,4295.01,INR,2026-08-18,PAY-1059,Acme Ltd
P-60,8867.97,INR,2026-08-18,PAY-1060,Acme Ltd
P-61,2028.18,INR,2026-08-18,PAY-1061,Acme Ltd
P-62,7316.30,INR,2026-08-18,PAY-1062,Acme Ltd
P-63,9875.76,INR,2026-08-18,PAY-1063,Acme Ltd
P-64,3948.70,INR,2026-08-18,PAY-1064,Acme Ltd
P-65,4428.59,INR,2026-08-18,PAY-1065,Acme Ltd
P-66,1664.77,INR,2026-08-18,PAY-1066,Acme Ltd
P-67,1613.44,INR,2026-08-18,PAY-1067,Acme Ltd
P-68,8516.85,INR,2026-08-18,PAY-1068,Acme Ltd
P-69,9481.37,INR,2026-08-18,PAY-1069,Acme Ltd
P-70,8867.16,INR,2026-08-18,PAY-1070,Acme Ltd
P-71,7453.50,INR,2026-08-18,PAY-1071,Acme Ltd
P-72,6163.56,INR,2026-08-18,PAY-1072,Acme Ltd
P-73,3852.54,INR,2026-08-18,PAY-1073,Acme Ltd
P-74,4237.96,INR,2026-08-18,PAY-1074,Acme Ltd
P-75,5745.35,INR,2026-08-18,PAY-1075,Acme Ltd
P-76,3351.17,INR,2026-08-18,PAY-1076,Stripe Inc
P-77,5106.29,INR,2026-08-18,PAY-1077,Stripe Inc
P-78,8001.63,INR,2026-08-18,PAY-1078,Stripe Inc
P-79,9145.35,INR,2026-08-18,PAY-1079,Stripe Inc
P-80,6452.31,INR,2026-08-18,PAY-1080,Stripe Inc
P-81,694.52,INR,2026-08-18,PAY-1081,Stripe Inc
P-82,4012.57,INR,2026-08-18,PAY-1082,Stripe Inc
P-83,8862.07,INR,2026-08-18,PAY-1083,Stripe Inc
P-84,4980.45,INR,2026-08-18,PAY-1084,Stripe Inc
P-85,4182.69,INR,2026-08-18,PAY-1085,Stripe Inc
P-86,347.41,INR,2026-08-18,PAY-DUP-0,Acme Ltd
P-87,347.41,INR,2026-08-18,PAY-DUP-0,Acme Ltd
P-88,2364.82,INR,2026-08-18,PAY-DUP-1,Acme Ltd
P-89,2364.82,INR,2026-08-18,PAY-DUP-1,Acme Ltd
P-90,7690.08,INR,2026-08-18,PAY-DUP-2,Acme Ltd
P-91,7690.08,INR,2026-08-18,PAY-DUP-2,Acme Ltd
P-92,8135.86,INR,2026-08-18,PAY-DUP-3,Acme Ltd
P-93,8135.86,INR,2026-08-18,PAY-DUP-3,Acme Ltd
P-94,8100.31,INR,2026-08-18,PAY-DUP-4,Acme Ltd
P-95,8100.31,INR,2026-08-18,PAY-DUP-4,Acme Ltd
P-96,9670.41,INR,2026-08-18,PAY-ORPHAN-96,Lost Corp
P-98,3987.22,INR,2026-08-18,PAY-ORPHAN-98,Lost Corp
P-100,5912.40,INR,2026-08-18,PAY-ORPHAN-100,Lost Corp
P-102,9905.63,INR,2026-08-18,PAY-ORPHAN-102,Lost Corp
P-104,6306.86,INR,2026-08-18,PAY-ORPHAN-104,Lost Corp
P-106,2284.60,INR,2026-08-18,PAY-1106,Acme Ltd
P-107,4418.26,INR,2026-08-18,PAY-1107,Acme Ltd
P-108,4108.44,INR,2026-08-18,PAY-1108,Acme Ltd
P-109,2516.32,INR,2026-08-18,PAY-1109,Acme Ltd
P-110,9128.13,INR,2026-08-18,PAY-1110,Acme Ltd
P-111,3522.65,INR,2026-08-21,PAY-1111,Weekend Corp
P-112,472.38,INR,2026-08-21,PAY-1112,Weekend Corp
P-113,4356.88,INR,2026-08-21,PAY-1113,Weekend Corp
P-114,9666.60,INR,2026-08-21,PAY-1114,Weekend Corp
P-115,9113.50,INR,2026-08-21,PAY-1115,Weekend Corp
