externalId,amount,currency,transactionDate,referenceId,description
S-83,2336.44,INR,2026-08-18,PAY-1083,A.C.M.E. CORP
S-84,256.97,INR,2026-08-18,PAY-1084,ACME LTD SETTLEMENT
S-85,1820.61,INR,2026-08-18,PAY-1085,ACME LTD SETTLEMENT
S-86,7194.35,INR,2026-08-18,PAY-1086,ACME LTD SETTLEMENT
S-87,5554.58,INR,2026-08-18,PAY-1087,ACME LTD SETTLEMENT
S-88,4258.96,INR,2026-08-18,PAY-1088,ACME LTD SETTLEMENT
S-89,1419.60,INR,2026-08-18,PAY-1089,ACME LTD SETTLEMENT
S-90,6171.96,INR,2026-08-18,PAY-1090,ACME LTD SETTLEMENT
S-91,6517.98,INR,2026-08-18,PAY-1091,ACME LTD SETTLEMENT
S-92,2819.16,INR,2026-08-18,PAY-1092,ACME LTD SETTLEMENT
S-93,3787.29,INR,2026-08-18,PAY-1093,ACME LTD SETTLEMENT
S-94,4725.50,INR,2026-08-18,PAY-1094,ACME LTD SETTLEMENT
S-95,5788.34,INR,2026-08-18,PAY-1095,ACME LTD SETTLEMENT
S-96,5759.94,INR,2026-08-18,PAY-1096,ACME LTD SETTLEMENT
S-97,3793.00,INR,2026-08-18,PAY-1097,ACME LTD SETTLEMENT
S-98-1,5000.00,INR,2026-08-18,REF-0.4338620461047511,ACME LTD SETTLEMENT 1
S-98-2,5000.00,INR,2026-08-18,REF-0.3164360973061371,ACME LTD SETTLEMENT 2
S-99-1,5000.00,INR,2026-08-18,REF-0.1547333121068608,ACME LTD SETTLEMENT 1
S-99-2,5000.00,INR,2026-08-18,REF-0.0010927276940246866,ACME LTD SETTLEMENT 2
S-100-1,5000.00,INR,2026-08-18,REF-0.922905420696357,ACME LTD SETTLEMENT 1
S-100-2,5000.00,INR,2026-08-18,REF-0.7444013741723827,ACME LTD SETTLEMENT 2
